St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  355  763 1180]
40,50,20,Mode,40,[   0   76 1131 1180]
40,50,20,Median,40,[   0  323 1131 1180]
40,50,20,Mode,40,[   0   76 1131 1180]
40,50,20,Median,40,[   0   76  365  697 1131 1180]
40,50,20,Mode,40,[   0   76 1131 1180]
40,50,20,Median,40,[   0   76  355  525 1131 1180]
40,50,20,Mode,40,[   0   76  323  494 1131 1180]
40,50,20,Median,40,[   0   76  355  525  748  973 1131 1180]
40,50,20,Mode,40,[   0   76  323  748  973 1131 1180]
40,50,20,Median,40,[   0   76  355  494  748  973 1131 1180]
40,50,20,Mode,40,[   0   76  323  494  575  748  973 1131 1180]
40,50,20,Median,40,[   0   76  355  494  578  763  973 1131 1180]
40,50,20,Mode,40,[   0   76  323  494  575  748  973 1131 1180]
40,50,20,Median,40,[   0   76  360  494  582  763  973 1131 1180]
40,50,20,Mode,40,[   0   76  355  494  575  748  973 1131 1180]
40,50,20,Median,40,[   0   76  360  494  582  763  973 1131 1180]
40,50,20,Mode,40,[   0   76  355  494  575  748  973 1131 1180]
