St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  992 1180]
40,50,20,Mode,40,[   0  614 1131 1180]
40,50,20,Median,40,[   0  614 1131 1180]
40,50,20,Mode,40,[   0   53  614 1131 1180]
40,50,20,Median,40,[   0   82  435  655 1131 1180]
40,50,20,Mode,40,[   0   53  435  614 1131 1180]
40,50,20,Median,40,[   0   82  435  614 1131 1180]
40,50,20,Mode,40,[   0   53  435  614  808 1131 1180]
40,50,20,Median,40,[   0   82  435  614  765  992 1131 1180]
40,50,20,Mode,40,[   0   53  435  614 1000 1131 1180]
40,50,20,Median,40,[   0   53  213  614  765  992 1131 1180]
40,50,20,Mode,40,[   0   53  213  614 1000 1131 1180]
40,50,20,Median,40,[   0   53  173  336  435  614  765  992 1131 1180]
40,50,20,Mode,40,[   0   53  213  336  435  614 1000 1131 1180]
40,50,20,Median,40,[   0   53  213  336  435  614  774  992 1131 1180]
40,50,20,Mode,40,[   0   53  213  336  435  655 1000 1131 1180]
40,50,20,Median,40,[   0   53  213  336  435  566  614  774  992 1131 1180]
40,50,20,Mode,40,[   0   53  213  336  435  566  614 1000 1131 1180]
