St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 653 922]
40,50,20,Mode,40,[  0 447 653 922]
40,50,20,Median,40,[  0 256 447 653 922]
40,50,20,Mode,40,[  0  80 447 653 922]
40,50,20,Median,40,[  0 256 447 653 814 922]
40,50,20,Mode,40,[  0  80 447 653 821 922]
40,50,20,Median,40,[  0  80 260 447 653 814 922]
40,50,20,Mode,40,[  0  80 260 447 653 821 922]
40,50,20,Median,40,[  0  80 260 447 653 814 922]
40,50,20,Mode,40,[  0  80 260 447 653 821 922]
40,50,20,Median,40,[  0  80 260 447 653 821 922]
40,50,20,Mode,40,[  0  80 260 447 653 821 922]
40,50,20,Median,40,[  0  80 260 447 653 821 922]
40,50,20,Mode,40,[  0  80 260 447 653 821 922]
40,50,20,Median,40,[  0  80 260 447 653 818 922]
40,50,20,Mode,40,[  0  80 260 447 653 821 922]
40,50,20,Median,40,[  0  80 260 341 423 653 818 922]
40,50,20,Mode,40,[  0  80 260 341 423 653 821 922]
