St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  220  900 1343]
40,50,20,Mode,40,[   0  110  992 1343]
40,50,20,Median,40,[   0  220  742  992 1343]
40,50,20,Mode,40,[   0  110  704  992 1343]
40,50,20,Median,40,[   0  110  400  742  992 1343]
40,50,20,Mode,40,[   0  110  400  704  992 1343]
40,50,20,Median,40,[   0  110  400  704  992 1114 1343]
40,50,20,Mode,40,[   0  110  400  704  992 1114 1343]
40,50,20,Median,40,[   0  110  220  400  704  992 1114 1343]
40,50,20,Mode,40,[   0  110  220  400  704  992 1114 1343]
40,50,20,Median,40,[   0  110  220  400  704  882  992 1343]
40,50,20,Mode,40,[   0  110  220  400  704  900  992 1343]
40,50,20,Median,40,[   0  110  220  400  704  882  992 1114 1264 1343]
40,50,20,Mode,40,[   0  110  220  400  704  900  992 1114 1264 1343]
40,50,20,Median,40,[   0  110  220  400  704  900  992 1114 1264 1343]
40,50,20,Mode,40,[   0  110  220  400  704  900  992 1114 1264 1343]
40,50,20,Median,40,[   0  110  220  351  426  704  900  992 1114 1264 1343]
40,50,20,Mode,40,[   0  110  220  351  704  900  992 1114 1264 1343]
