St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   62  991 1419]
40,50,20,Mode,40,[   0   62 1316 1419]
40,50,20,Median,40,[   0   62 1316 1419]
40,50,20,Mode,40,[   0   62 1316 1419]
40,50,20,Median,40,[   0   62 1316 1419]
40,50,20,Mode,40,[   0   62 1316 1419]
40,50,20,Median,40,[   0   62  991 1316 1419]
40,50,20,Mode,40,[   0   62  991 1316 1419]
40,50,20,Median,40,[   0   62  991 1316 1419]
40,50,20,Mode,40,[   0   62  991 1316 1419]
40,50,20,Median,40,[   0   62  706 1316 1419]
40,50,20,Mode,40,[   0   62  706 1316 1419]
40,50,20,Median,40,[   0   62  706 1316 1419]
40,50,20,Mode,40,[   0   62  706 1316 1419]
40,50,20,Median,40,[   0   62  706 1316 1419]
40,50,20,Mode,40,[   0   62  706 1316 1419]
40,50,20,Median,40,[   0   62  706  836  991 1316 1419]
40,50,20,Mode,40,[   0   62  706  836  991 1316 1419]
