St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  321 1255 1419]
40,50,20,Mode,40,[   0  437 1255 1419]
40,50,20,Median,40,[   0  176  437 1255 1419]
40,50,20,Mode,40,[   0   68  437 1255 1419]
40,50,20,Median,40,[   0   87  437  673 1255 1419]
40,50,20,Mode,40,[   0   68  437  673 1255 1419]
40,50,20,Median,40,[   0  182  437  673 1255 1419]
40,50,20,Mode,40,[   0  182  437  673 1255 1419]
40,50,20,Median,40,[   0  182  437  673 1255 1419]
40,50,20,Mode,40,[   0  182  437  673 1255 1419]
40,50,20,Median,40,[   0  182  437  673 1255 1419]
40,50,20,Mode,40,[   0  182  437  673 1255 1419]
40,50,20,Median,40,[   0  182  437  673 1255 1419]
40,50,20,Mode,40,[   0  182  437  673 1255 1419]
40,50,20,Median,40,[   0  182  437  673 1255 1419]
40,50,20,Mode,40,[   0  182  437  673 1255 1419]
40,50,20,Median,40,[   0   68  182  437  605  836 1255 1419]
40,50,20,Mode,40,[   0   68  182  437  605  836 1255 1419]
