St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  221 1046 1419]
40,50,20,Mode,40,[   0  164  981 1419]
40,50,20,Median,40,[   0  221  757 1175 1419]
40,50,20,Mode,40,[   0  164  758 1419]
40,50,20,Median,40,[   0  221  757  981 1178 1419]
40,50,20,Mode,40,[   0  164  758  981 1175 1419]
40,50,20,Median,40,[   0  164  572  758  981 1178 1419]
40,50,20,Mode,40,[   0  164  572  758  981 1175 1419]
40,50,20,Median,40,[   0  164  572  758  981 1178 1419]
40,50,20,Mode,40,[   0  164  572  758  981 1175 1419]
40,50,20,Median,40,[   0  164  572  758  981 1059 1178 1419]
40,50,20,Mode,40,[   0  164  572  758  981 1063 1175 1419]
40,50,20,Median,40,[   0  164  572  758  981 1059 1178 1419]
40,50,20,Mode,40,[   0  164  572  758  981 1063 1175 1419]
40,50,20,Median,40,[   0  164  383  572  758  981 1059 1176 1225 1419]
40,50,20,Mode,40,[   0  164  383  572  758  981 1063 1175 1221 1419]
40,50,20,Median,40,[   0  164  383  572  758  981 1059 1176 1225 1419]
40,50,20,Mode,40,[   0  164  383  572  758  981 1063 1175 1221 1419]
