St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  401 1185 1419]
40,50,20,Mode,40,[   0  401 1232 1419]
40,50,20,Median,40,[   0  355  768 1189 1419]
40,50,20,Mode,40,[   0  711 1232 1419]
40,50,20,Median,40,[   0  401  768 1189 1419]
40,50,20,Mode,40,[   0  711 1232 1419]
40,50,20,Median,40,[   0  717 1068 1189 1419]
40,50,20,Mode,40,[   0  711 1232 1419]
40,50,20,Median,40,[   0  711 1232 1419]
40,50,20,Mode,40,[   0  711 1232 1419]
40,50,20,Median,40,[   0  711 1068 1189 1419]
40,50,20,Mode,40,[   0  711 1232 1419]
40,50,20,Median,40,[   0   60  222  401  711  879 1068 1185 1232 1419]
40,50,20,Mode,40,[   0   60  200  401  711  860 1068 1189 1232 1419]
40,50,20,Median,40,[   0   60  222  401  717  879 1068 1185 1232 1419]
40,50,20,Mode,40,[   0   60  200  401  711  860 1068 1189 1232 1419]
40,50,20,Median,40,[   0   60  222  476  717  879 1068 1185 1232 1419]
40,50,20,Mode,40,[   0   60  200  476  711  860 1068 1189 1232 1419]
