St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1132 2965 4285]
40,50,20,Mode,40,[   0 1621 3062 4285]
40,50,20,Median,40,[   0 1132 2826 3573 4285]
40,50,20,Mode,40,[   0 1621 3062 4285]
40,50,20,Median,40,[   0  405 1248 2826 3573 4285]
40,50,20,Mode,40,[   0 1621 3062 4285]
40,50,20,Median,40,[   0  405 1248 2351 3062 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 3062 4136 4285]
40,50,20,Median,40,[   0  405 1621 2351 3062 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 3062 4136 4285]
40,50,20,Median,40,[   0  405 1621 2351 3009 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 3062 4136 4285]
40,50,20,Median,40,[   0  405 1621 2298 2826 3062 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 2826 3062 4136 4285]
40,50,20,Median,40,[   0  405 1621 2298 2826 3062 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 2826 3062 4136 4285]
40,50,20,Median,40,[   0  405 1621 2298 2826 3062 4136 4285]
40,50,20,Mode,40,[   0  405 1621 2272 2826 3062 4136 4285]
