St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1352 3186 4285]
40,50,20,Mode,40,[   0  716 4285]
40,50,20,Median,40,[   0  716 2067 4285]
40,50,20,Mode,40,[   0  716 1881 4285]
40,50,20,Median,40,[   0  716 1881 2661 3512 4285]
40,50,20,Mode,40,[   0  716 1881 2661 3512 4285]
40,50,20,Median,40,[   0  716 1881 2609 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1881 2661 3512 4285]
40,50,20,Median,40,[   0  616 1332 1881 2661 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1881 2661 3512 4285]
40,50,20,Median,40,[   0  616 1332 1881 2661 3137 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1101 1881 2661 3076 3512 4224 4285]
40,50,20,Median,40,[   0  657 1332 1881 2661 3137 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1101 1881 2661 3076 3512 4224 4285]
40,50,20,Median,40,[   0  657 1332 1881 2686 3137 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1101 1881 2392 2661 3076 3512 4224 4285]
40,50,20,Median,40,[   0  616 1101 1881 2686 3137 3512 4224 4285]
40,50,20,Mode,40,[   0  716 1522 1881 2392 2661 3076 3512 4224 4285]
