St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1096 4285]
40,50,20,Mode,40,[   0 2064 4285]
40,50,20,Median,40,[   0  704 2063 4285]
40,50,20,Mode,40,[   0 1096 2064 3990 4285]
40,50,20,Median,40,[   0  704 2063 3990 4285]
40,50,20,Mode,40,[   0 1096 2064 3990 4285]
40,50,20,Median,40,[   0  365 1096 2063 3990 4285]
40,50,20,Mode,40,[   0  704 1096 2064 3029 3990 4285]
40,50,20,Median,40,[   0  288 1096 2063 3990 4285]
40,50,20,Mode,40,[   0  365 1096 2064 3990 4285]
40,50,20,Median,40,[   0  288  691 1096 1818 2063 3029 3990 4285]
40,50,20,Mode,40,[   0  365  704 1096 1818 2064 3029 3990 4285]
40,50,20,Median,40,[   0  288  691 1096 1818 2063 3029 3746 4022 4285]
40,50,20,Mode,40,[   0  365  704 1096 1818 2064 3029 3747 3990 4285]
40,50,20,Median,40,[   0  288  691 1096 1818 2063 3029 3747 4022 4285]
40,50,20,Mode,40,[   0  365  704 1096 1818 2064 3029 3747 3990 4285]
40,50,20,Median,40,[   0  288  691 1096 1818 2063 3029 3747 4022 4285]
40,50,20,Mode,40,[   0  365  704 1096 1818 2064 3029 3747 3990 4285]
