St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  812 2384 3353]
40,50,20,Mode,40,[   0 1182 1820 3353]
40,50,20,Median,40,[   0  624 1755 2852 3353]
40,50,20,Mode,40,[   0  812 1820 2734 3353]
40,50,20,Median,40,[   0  279 1065 1820 2852 3353]
40,50,20,Mode,40,[   0  292 1182 1820 2734 3353]
40,50,20,Median,40,[   0  129  810 1182 1820 2852 3353]
40,50,20,Mode,40,[   0  292  812 1182 1820 2734 3353]
40,50,20,Median,40,[   0  129  810 1182 1820 2611 2920 3353]
40,50,20,Mode,40,[   0  292  812 1182 1820 2734 3353]
40,50,20,Median,40,[   0  129 1182 1820 2861 3067 3353]
40,50,20,Mode,40,[   0  292  812 1820 2530 2734 3067 3353]
40,50,20,Median,40,[   0  129 1182 1755 1959 2530 2861 3067 3353]
40,50,20,Mode,40,[   0  292  812 1820 1959 2530 2734 3067 3353]
40,50,20,Median,40,[   0  129 1130 1346 1755 1959 2530 2861 3067 3353]
40,50,20,Mode,40,[   0  292  812 1182 1337 1959 2530 2734 3067 3353]
40,50,20,Median,40,[   0  129  812 1130 1346 1755 1959 2530 2861 3067 3353]
40,50,20,Mode,40,[   0  292  812 1182 1337 1959 2530 2734 3067 3353]
