,St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges,N_stages,Longest_stage,Shortest_stage,Avg_stage_length,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,Avg-Silh,Avg-Cal-Har,Avg-Dav-Bold
0,20,45,20,Median,40,[   0 1172 3103 3353],3,1931,250,1117.6666666666667,47781.35692033906,9.40452016595901,0.02122426608653723,44.784984881774875,6.586530502236184,0.06934303857823795,46.21885870892559,6.257107261681828
1,40,35,10,Mode,40,[   0 1148 1534 3103 3353],4,1569,250,838.25,19845.7188746088,8.487129761587365,0.0039008238942696825,38.13460382803064,6.949933634051817,0.0562637267946951,18.358272748809778,6.733814888679902
2,60,35,20,Median,40,[   0  978 1601 2725 3205 3353],5,1124,148,670.6,22750.414433854174,9.30279706762009,-0.014405699543388942,39.89932362577246,7.395992116520517,0.039474416974295254,19.71898976993188,6.752999676222268
3,20,40,15,Mode,40,[   0  823 1149 1534 2172 3103 3353],6,931,250,558.8333333333334,12576.010000730445,7.395190304324342,-0.027565998874091478,27.133715732535705,8.997432166051844,0.03781262570865936,11.280204101578637,8.001686256858276
4,0,45,20,Median,40,[   0  823 1148 1533 2172 2726 3285 3353],7,823,68,479.0,14404.679731263159,9.408752900775488,-0.028530651065983532,26.859820849872843,8.027889864679983,0.04012215155707597,12.481398649887476,7.160951814781779
5,0,35,15,Median,40,[   0  823 1149 1408 1534 2172 2725 3285 3353],8,823,68,419.125,12230.001828454759,9.293155620785624,-0.03472189377444213,23.630338659517115,8.24233453154319,0.042326838355632126,10.467513264547645,7.152835705026756
6,40,35,15,Median,40,[   0  545  824 1149 1534 2013 2725 3103 3278 3353],9,712,75,372.55555555555554,11012.733746185339,8.440881907783881,-0.04193737542153233,22.381743143253264,9.105519449417821,0.03205344650013024,9.099927398160267,8.02663450090239
7,40,35,20,Median,40,[   0  545  824  978 1149 1534 1990 2725 3103 3278 3353],10,735,75,335.3,12068.637716998031,9.601755263233505,-0.048354944508618526,22.509335372670815,9.10196618223997,0.036309536110891855,10.204281557472784,7.191965796656169
8,40,35,20,Median,40,[   0  545  824  978 1149 1534 1990 2565 2803 3103 3278 3353],11,575,75,304.8181818181818,13719.654084216523,10.296776974324812,-0.05494165464067173,22.11581918405761,9.590708900990602,0.038165234487611846,12.36859034688911,6.421980500373978
9,40,35,20,Median,40,[   0  545  824  978 1149 1534 1812 1990 2565 2803 3103 3278 3353],12,575,75,279.4166666666667,11500.653592563878,9.975016634025254,-0.05593283448602975,20.772477549563273,9.948395833107242,0.03497532405218472,10.16184571688807,6.480043789492118
10,60,35,15,Mode,40,[   0  545  823  973 1149 1534 1812 1990 2172 2725 2810 3103 3285 3353],13,553,68,257.9230769230769,9257.893313769715,9.672732124261268,-0.05356392908524609,18.37767652237757,10.743094343784716,0.034881989777181814,7.861131305121688,7.095229282782513
11,40,35,20,Median,40,"[   0  545  824  978 1149 1408 1534 1812 1990 2172 2565 2803 3103 3278
 3353]",14,545,75,239.5,9601.156064415578,9.367923955314948,-0.05945974060292422,17.96347706644438,10.660192861063717,0.03431210247866853,8.508746352024822,7.132452425813706
12,40,35,15,Median,40,"[   0  545  823  975 1149 1408 1534 1812 1990 2172 2565 2725 2939 3103
 3278 3353]",15,545,75,223.53333333333333,8131.968568811904,8.944935216795672,-0.060913525391320535,16.624833322572904,10.278627619107702,0.029168015895429274,6.876492591281097,7.364587047204369
13,60,35,20,Median,40,"[   0  274  545  824  978 1149 1408 1534 1812 1990 2172 2565 2725 2939
 3103 3278 3353]",16,393,75,209.5625,7989.462416464629,8.830003465297496,-0.06784262881530931,15.70925886584965,10.82742728956775,0.026446681408718153,6.9705218193355,7.34632857137665
