St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  927 3278 3353]
40,50,20,Mode,40,[   0  973 3278 3353]
40,50,20,Median,40,[   0  895 2021 3278 3353]
40,50,20,Mode,40,[   0  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  927 2021 3278 3353]
40,50,20,Mode,40,[   0  246  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  927 2032 3278 3353]
40,50,20,Mode,40,[   0  246  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  923 2012 3278 3353]
40,50,20,Mode,40,[   0  246  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  923 2012 3278 3353]
40,50,20,Mode,40,[   0  246  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  847  973 2012 3278 3353]
40,50,20,Mode,40,[   0  246  847  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  847  973 2021 3278 3353]
40,50,20,Mode,40,[   0  246  847  973 2021 3278 3353]
40,50,20,Median,40,[   0  246  847  973 2021 3278 3353]
40,50,20,Mode,40,[   0  246  847  973 2021 3278 3353]
