St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  307 1002 1264]
40,50,20,Mode,40,[   0  218 1052 1264]
40,50,20,Median,40,[   0  412 1002 1264]
40,50,20,Mode,40,[   0  348 1052 1264]
40,50,20,Median,40,[   0  163  411  545 1002 1264]
40,50,20,Mode,40,[   0  218  307  503 1052 1264]
40,50,20,Median,40,[   0  163  545  954 1033 1264]
40,50,20,Mode,40,[   0  218  307  503  954 1052 1264]
40,50,20,Median,40,[   0  102  218  411  954 1033 1264]
40,50,20,Mode,40,[   0  102  218  307  503  954 1052 1264]
40,50,20,Median,40,[   0  102  218  307  545  954 1033 1264]
40,50,20,Mode,40,[   0  102  218  307  503  954 1052 1264]
40,50,20,Median,40,[   0  102  218  307  545  833  954 1033 1264]
40,50,20,Mode,40,[   0  102  218  307  503  954 1052 1264]
40,50,20,Median,40,[   0  102  218  307  545  833  954 1033 1264]
40,50,20,Mode,40,[   0  102  218  307  503  954 1052 1264]
40,50,20,Median,40,[   0  163  218  412  545  833  954 1033 1264]
40,50,20,Mode,40,[   0  163  218  307  503  954 1052 1264]
