St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  512 1032 1264]
40,50,20,Mode,40,[   0  512 1056 1264]
40,50,20,Median,40,[   0   48  512 1032 1264]
40,50,20,Mode,40,[   0  512 1056 1264]
40,50,20,Median,40,[   0   48  512 1032 1264]
40,50,20,Mode,40,[   0  512 1056 1264]
40,50,20,Median,40,[   0   48  512  895 1056 1264]
40,50,20,Mode,40,[   0  512  895 1056 1264]
40,50,20,Median,40,[   0   48  512  895 1056 1264]
40,50,20,Mode,40,[   0  512  895 1056 1264]
40,50,20,Median,40,[   0   48  512  895 1056 1103 1264]
40,50,20,Mode,40,[   0  512  895 1056 1101 1264]
40,50,20,Median,40,[   0  512  895 1056 1103 1264]
40,50,20,Mode,40,[   0  512  895 1056 1101 1264]
40,50,20,Median,40,[   0  175  365  512  609  677  895 1056 1103 1264]
40,50,20,Mode,40,[   0  512  609  677  895 1056 1101 1264]
40,50,20,Median,40,[   0  175  365  512  609  677  895 1056 1103 1264]
40,50,20,Mode,40,[   0  512  609  677  895 1056 1101 1264]
