St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  259 1065 1264]
40,50,20,Mode,40,[   0  259 1264]
40,50,20,Median,40,[   0  245  561 1264]
40,50,20,Mode,40,[   0  259  458 1264]
40,50,20,Median,40,[   0  245  458  774 1169 1264]
40,50,20,Mode,40,[   0  259  458  774 1169 1264]
40,50,20,Median,40,[   0   93  259  458  774 1169 1264]
40,50,20,Mode,40,[   0   93  259  458  774 1169 1264]
40,50,20,Median,40,[   0   93  259  458  774 1065 1169 1264]
40,50,20,Mode,40,[   0   93  259  458  774 1098 1169 1264]
40,50,20,Median,40,[   0   93  259  458  774 1065 1169 1264]
40,50,20,Mode,40,[   0   93  259  458  686  774 1098 1169 1264]
40,50,20,Median,40,[   0   93  259  458  774  934 1065 1169 1264]
40,50,20,Mode,40,[   0   93  259  458  528  774  904 1098 1169 1264]
40,50,20,Median,40,[   0   93  204  259  458  774  934 1065 1169 1264]
40,50,20,Mode,40,[   0   93  204  259  458  528  774  904 1098 1169 1264]
40,50,20,Median,40,[   0   93  204  259  458  774  934 1065 1169 1264]
40,50,20,Mode,40,[   0   93  204  259  458  686  774  904 1098 1169 1264]
