St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  209  823 1197]
40,50,20,Mode,40,[   0  107 1197]
40,50,20,Median,40,[   0  161  586  920 1197]
40,50,20,Mode,40,[   0  107  586  917 1197]
40,50,20,Median,40,[   0  161  586  915 1129 1197]
40,50,20,Mode,40,[   0  107  586  917 1197]
40,50,20,Median,40,[   0  161  917 1197]
40,50,20,Mode,40,[   0  107  586  917 1197]
40,50,20,Median,40,[   0  150  363  628  917 1129 1197]
40,50,20,Mode,40,[   0  107  586  917 1197]
40,50,20,Median,40,[   0  161  363  628  917 1129 1197]
40,50,20,Mode,40,[   0  107  586  917 1197]
40,50,20,Median,40,[   0  107  162  363  586  691  917 1129 1197]
40,50,20,Mode,40,[   0  107  586  691  917 1129 1197]
40,50,20,Median,40,[   0  107  162  275  373  586  646  917 1129 1197]
40,50,20,Mode,40,[   0  107  193  275  363  586  628  917 1129 1197]
40,50,20,Median,40,[   0  107  162  275  373  586  646  917 1129 1197]
40,50,20,Mode,40,[   0  107  193  275  363  586  628  917 1129 1197]
