St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  473  980 1197]
40,50,20,Mode,40,[   0   72 1096 1197]
40,50,20,Median,40,[   0   77  574 1035 1197]
40,50,20,Mode,40,[   0   72  523 1096 1197]
40,50,20,Median,40,[   0  523  762 1096 1197]
40,50,20,Mode,40,[   0   72  523  895 1096 1197]
40,50,20,Median,40,[   0  522  684  980 1096 1197]
40,50,20,Mode,40,[   0   72  523  762  980 1096 1197]
40,50,20,Median,40,[   0   72  522  684  980 1096 1197]
40,50,20,Mode,40,[   0   72  523  762  980 1096 1197]
40,50,20,Median,40,[   0   72  256  607  755  980 1096 1197]
40,50,20,Mode,40,[   0   72  523  762  980 1096 1197]
40,50,20,Median,40,[   0   72  256  607  895  980 1096 1197]
40,50,20,Mode,40,[   0   72  523  895  980 1096 1197]
40,50,20,Median,40,[   0   72  523  895  980 1096 1197]
40,50,20,Mode,40,[   0   72  523  895  980 1096 1197]
40,50,20,Median,40,[   0   72  523  895  980 1096 1156 1197]
40,50,20,Mode,40,[   0   72  523  895  980 1096 1156 1197]
