St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  381  658 1197]
40,50,20,Mode,40,[   0  435 1197]
40,50,20,Median,40,[   0  208  444 1197]
40,50,20,Mode,40,[   0  208  435 1197]
40,50,20,Median,40,[   0  208  435 1197]
40,50,20,Mode,40,[   0  208  435 1197]
40,50,20,Median,40,[   0  208  435 1197]
40,50,20,Mode,40,[   0  208  435 1197]
40,50,20,Median,40,[   0  208  435  552  658  880 1197]
40,50,20,Mode,40,[   0  208  435 1197]
40,50,20,Median,40,[   0  208  435  552  658  880 1197]
40,50,20,Mode,40,[   0  208  435 1197]
40,50,20,Median,40,[   0  208  435  559  658  880 1197]
40,50,20,Mode,40,[   0  208  435  565  658  894 1197]
40,50,20,Median,40,[   0  208  435  559  658  894 1197]
40,50,20,Mode,40,[   0  208  435  565  658  781 1197]
40,50,20,Median,40,[   0  208  435  489  559  658  894 1197]
40,50,20,Mode,40,[   0  208  435  489  565  658  781 1197]
