Feature,IV,IVs
channel-0 landscape dim-1 max,0.14864174514905165,"[0.24651472040813646, 0.5451937187934763, 0.2765354217477218, 0.07152586081528875, 0.01477038940518913, 0.14049806326035147, 0.05626437263812323, 0.09627080119396948, 0.02724598470166868, 0.01159811852659141]"
channel-0 landscape dim-1 mean,0.17515625621955816,"[0.3149002078999275, 0.6645938094618531, 0.32847790678834304, 0.0878441919868122, 0.020980254926657196, 0.10504064014535985, 0.07001942053151382, 0.12470751471876702, 0.019913096048775666, 0.01508551968757225]"
channel-0 landscape dim-1 std,0.15536346106424373,"[0.25455145194274736, 0.49755631059616645, 0.3326351627397763, 0.09198656013133186, 0.025733691379611925, 0.14570344431949506, 0.054566510975171026, 0.1049060119209803, 0.028443814999906215, 0.017551651637250778]"
channel-0 landscape dim-1 sum,0.17515625621955816,"[0.3149002078999275, 0.6645938094618531, 0.32847790678834304, 0.0878441919868122, 0.020980254926657196, 0.10504064014535985, 0.07001942053151382, 0.12470751471876702, 0.019913096048775666, 0.01508551968757225]"
channel-0 landscape dim-1 norm-1,0.17515625621955816,"[0.3149002078999275, 0.6645938094618531, 0.32847790678834304, 0.0878441919868122, 0.020980254926657196, 0.10504064014535985, 0.07001942053151382, 0.12470751471876702, 0.019913096048775666, 0.01508551968757225]"
channel-0 landscape dim-1 norm-2,0.14896729363585326,"[0.25455145194274736, 0.49755631059616645, 0.2681205615497449, 0.09198656013133186, 0.025733691379611925, 0.14570344431949506, 0.05249994189733494, 0.10425351379867057, 0.031488182967190366, 0.017779277776239177]"
channel-0 landscape dim-2 max,0.06989204696329084,"[0.06637249041840929, 0.3705651313307745, 0.08136062964737524, 0.04610391180885997, 0.01311126647785278, 0.04423465984956768, 0.009872716877100911, 0.023775692241590714, 0.029163289780453773, 0.014360681200923354]"
channel-0 landscape dim-2 mean,0.06524282002117322,"[0.061286629706120456, 0.3705651313307745, 0.0540162662233484, 0.036058691471751426, 0.01402163573482114, 0.04144160150493584, 0.009663198029675857, 0.023775692241590714, 0.029163289780453773, 0.012436064188260012]"
channel-0 landscape dim-2 std,0.06909657151209403,"[0.07121751157475865, 0.3705651313307745, 0.07070120668003022, 0.041928625123823705, 0.013441023775570568, 0.049458932061494036, 0.009663198029675857, 0.023775692241590714, 0.025853713102298663, 0.014360681200923354]"
channel-0 landscape dim-2 sum,0.06524282002117322,"[0.061286629706120456, 0.3705651313307745, 0.0540162662233484, 0.036058691471751426, 0.01402163573482114, 0.04144160150493584, 0.009663198029675857, 0.023775692241590714, 0.029163289780453773, 0.012436064188260012]"
channel-0 landscape dim-2 norm-1,0.06524282002117322,"[0.061286629706120456, 0.3705651313307745, 0.0540162662233484, 0.036058691471751426, 0.01402163573482114, 0.04144160150493584, 0.009663198029675857, 0.023775692241590714, 0.029163289780453773, 0.012436064188260012]"
