St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  410 1475 2189]
40,50,20,Mode,40,[   0  657 1475 2189]
40,50,20,Median,40,[   0  370 1410 1799 2189]
40,50,20,Mode,40,[   0  657 1598 2189]
40,50,20,Median,40,[   0  318  685 1475 2189]
40,50,20,Mode,40,[   0  256  657 1475 2189]
40,50,20,Median,40,[   0  597 1053 1475 2189]
40,50,20,Mode,40,[   0  256  657 1019 1475 2189]
40,50,20,Median,40,[   0  597 1053 1475 2189]
40,50,20,Mode,40,[   0  256  657 1019 1475 2189]
40,50,20,Median,40,[   0  597 1053 1278 1475 2189]
40,50,20,Mode,40,[   0  657 1278 1475 2189]
40,50,20,Median,40,[   0  152  318  601 1053 1278 1475 2189]
40,50,20,Mode,40,[   0   93  256  657 1278 1475 2189]
40,50,20,Median,40,[   0  152  318  601 1053 1434 1598 2189]
40,50,20,Mode,40,[   0   93  256  657 1278 1475 1598 2189]
40,50,20,Median,40,[   0  152  496 1053 1434 1598 2189]
40,50,20,Mode,40,[   0   93  256  657 1278 1475 1598 2189]
