St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1131 1813 2554]
40,50,20,Mode,40,[   0 1834 2554]
40,50,20,Median,40,[   0 1834 2554]
40,50,20,Mode,40,[   0 1834 2554]
40,50,20,Median,40,[   0 2181 2554]
40,50,20,Mode,40,[   0 1834 2368 2554]
40,50,20,Median,40,[   0 2181 2554]
40,50,20,Mode,40,[   0  422  641 1834 2368 2554]
40,50,20,Median,40,[   0   93  641  863 1281 2209 2554]
40,50,20,Mode,40,[   0   93  641  863 1834 2368 2554]
40,50,20,Median,40,[   0   93  641  863 1281 2150 2368 2554]
40,50,20,Mode,40,[   0   93  641  863 1834 2181 2554]
40,50,20,Median,40,[   0   93  641  863 1281 1569 1813 2150 2554]
40,50,20,Mode,40,[   0   93  641  863 1281 1569 1834 2181 2554]
40,50,20,Median,40,[   0  422  641  863 1281 1569 1813 2150 2554]
40,50,20,Mode,40,[   0  422  641  863 1281 1569 1834 2181 2554]
40,50,20,Median,40,[   0  422  641  863 1211 1281 1569 1813 2150 2554]
40,50,20,Mode,40,[   0  422  641  863 1211 1281 1569 1834 2181 2554]
