St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1498 2554]
40,50,20,Mode,40,[   0  708 1305 2554]
40,50,20,Median,40,[   0 2230 2554]
40,50,20,Mode,40,[   0  708 1305 2311 2554]
40,50,20,Median,40,[   0  316  708 2231 2554]
40,50,20,Mode,40,[   0  316  708 1305 2311 2554]
40,50,20,Median,40,[   0  316  708 1305 2233 2554]
40,50,20,Mode,40,[   0  316  708 1305 1516 2311 2554]
40,50,20,Median,40,[   0  316  653 2233 2554]
40,50,20,Mode,40,[   0  316  708  873 1305 1516 2311 2554]
40,50,20,Median,40,[   0  316  503  708 1305 1498 1783 2233 2554]
40,50,20,Mode,40,[   0  316  503  708 1305 1402 1737 2311 2554]
40,50,20,Median,40,[   0  316  503  708  873 1540 1874 2311 2554]
40,50,20,Mode,40,[   0  316  503  708  873 1305 1516 1737 2311 2554]
40,50,20,Median,40,[   0   45  316  503  708  873 1540 1874 2311 2554]
40,50,20,Mode,40,[   0   45  316  503  708  873 1305 1516 1737 2311 2554]
40,50,20,Median,40,[   0   45  316  503  708  873 1305 1516 1783 2311 2554]
40,50,20,Mode,40,[   0   45  316  503  708  873 1305 1516 1737 2311 2554]
