St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  629 1824 2554]
40,50,20,Mode,40,[   0 1118 1875 2554]
40,50,20,Median,40,[   0  548 1319 2012 2554]
40,50,20,Mode,40,[   0  629 1319 1875 2554]
40,50,20,Median,40,[   0  548 1319 2554]
40,50,20,Mode,40,[   0  629 1319 1875 2407 2554]
40,50,20,Median,40,[   0  548 1319 1555 1875 2277 2554]
40,50,20,Mode,40,[   0  629 1319 1555 1875 2407 2554]
40,50,20,Median,40,[   0  325 1319 1555 1875 2277 2554]
40,50,20,Mode,40,[   0  325 1319 1555 1875 2407 2554]
40,50,20,Median,40,[   0  325 1319 1555 1875 2407 2554]
40,50,20,Mode,40,[   0  325 1319 1555 1875 2407 2554]
40,50,20,Median,40,[   0  325 1319 1555 1875 2407 2554]
40,50,20,Mode,40,[   0  325 1319 1555 1875 2407 2554]
40,50,20,Median,40,[   0   69  325 1118 1319 1555 1875 2407 2554]
40,50,20,Mode,40,[   0   69  325 1118 1319 1555 1875 2407 2554]
40,50,20,Median,40,[   0  539  629 1319 1555 1875 2407 2554]
40,50,20,Mode,40,[   0  539  629 1319 1555 1875 2407 2554]
