St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1692 2554]
40,50,20,Mode,40,[   0 1692 2554]
40,50,20,Median,40,[   0 1402 2051 2554]
40,50,20,Mode,40,[   0 1692 1969 2554]
40,50,20,Median,40,[   0  273 1432 2051 2554]
40,50,20,Mode,40,[   0   53  662 1692 2554]
40,50,20,Median,40,[   0  273  709 1288 1692 2069 2554]
40,50,20,Mode,40,[   0   53  662 1692 2554]
40,50,20,Median,40,[   0  273 1692 2015 2352 2554]
40,50,20,Mode,40,[   0   53  662 1692 2554]
40,50,20,Median,40,[   0   53  314 1692 2015 2554]
40,50,20,Mode,40,[   0   53  319  662 1692 2554]
40,50,20,Median,40,[   0   53  314 1147 1402 1692 2015 2554]
40,50,20,Mode,40,[   0   53  319  662 1224 1372 1692 2554]
40,50,20,Median,40,[   0   53  314 1224 1432 1692 2015 2554]
40,50,20,Mode,40,[   0   53  319  662 1224 1372 1692 2554]
40,50,20,Median,40,[   0   53  314 1224 1432 1692 1969 2149 2352 2554]
40,50,20,Mode,40,[   0   53  319  662 1224 1372 1692 1969 2149 2352 2554]
