St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1558 2053]
40,50,20,Mode,40,[   0 1558 2053]
40,50,20,Median,40,[   0 1558 2053]
40,50,20,Mode,40,[   0 1558 2053]
40,50,20,Median,40,[   0 1558 2053]
40,50,20,Mode,40,[   0 1558 2053]
40,50,20,Median,40,[   0 1558 1665 1730 1976 2053]
40,50,20,Mode,40,[   0 1558 1665 1730 2003 2053]
40,50,20,Median,40,[   0 1558 1665 1730 1888 2003 2053]
40,50,20,Mode,40,[   0 1558 1665 1730 1888 2003 2053]
40,50,20,Median,40,[   0 1558 1665 1730 1780 1888 2003 2053]
40,50,20,Mode,40,[   0 1558 1665 1730 1780 1888 2003 2053]
40,50,20,Median,40,[   0 1558 1665 1730 1780 1888 2003 2053]
40,50,20,Mode,40,[   0 1558 1665 1730 1780 1888 2003 2053]
40,50,20,Median,40,[   0 1558 1623 1665 1730 1780 2003 2053]
40,50,20,Mode,40,[   0 1558 1623 1665 1730 1780 2003 2053]
40,50,20,Median,40,[   0 1558 1623 1665 1730 1780 1888 1954 2053]
40,50,20,Mode,40,[   0 1558 1623 1665 1730 1780 1888 1954 2053]
