St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  833 1432 2053]
40,50,20,Mode,40,[   0  833 1432 2053]
40,50,20,Median,40,[   0  391 1432 2053]
40,50,20,Mode,40,[   0  391 1432 2053]
40,50,20,Median,40,[   0  391 1432 2053]
40,50,20,Mode,40,[   0  391 1432 2053]
40,50,20,Median,40,[   0  391  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1432 2053]
40,50,20,Median,40,[   0  391  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1200 2053]
40,50,20,Median,40,[   0  401  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1200 2053]
40,50,20,Median,40,[   0  401  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1200 2053]
40,50,20,Median,40,[   0  401  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1200 2053]
40,50,20,Median,40,[   0  401  833  954 1432 2053]
40,50,20,Mode,40,[   0  391  833  902 1200 2053]
