St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  788 2211]
40,50,20,Mode,40,[   0  464 2211]
40,50,20,Median,40,[   0  530 2211]
40,50,20,Mode,40,[   0  464 2211]
40,50,20,Median,40,[   0  527 1433 2211]
40,50,20,Mode,40,[   0  464 2211]
40,50,20,Median,40,[   0  534 1433 2211]
40,50,20,Mode,40,[   0  464 2211]
40,50,20,Median,40,[   0  534 1423 2211]
40,50,20,Mode,40,[   0  464 1433 1751 1911 2211]
40,50,20,Median,40,[   0  534  873 1058 1423 1751 2211]
40,50,20,Mode,40,[   0  464  873 1058 1433 1751 1911 2211]
40,50,20,Median,40,[   0  534  873 1058 1423 1751 1911 2211]
40,50,20,Mode,40,[   0  464  873 1058 1433 1751 1911 2211]
40,50,20,Median,40,[   0  464  636  873 1058 1423 1751 1911 2211]
40,50,20,Mode,40,[   0  464  636  873 1058 1433 1751 1911 2211]
40,50,20,Median,40,[   0  464  636  873 1058 1423 1751 1911 2211]
40,50,20,Mode,40,[   0  464  636  873 1058 1433 1751 1911 2211]
