St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  671 1251 2211]
40,50,20,Mode,40,[   0  743 1251 2211]
40,50,20,Median,40,[   0  253  696 1251 2211]
40,50,20,Mode,40,[   0  253  743 1251 2211]
40,50,20,Median,40,[   0  253  696 1030 1251 2211]
40,50,20,Mode,40,[   0  253  743 1093 1251 2211]
40,50,20,Median,40,[   0  253  696 1030 1251 2211]
40,50,20,Mode,40,[   0  253  743 1093 1251 2211]
40,50,20,Median,40,[   0  658  743 1030 1251 2211]
40,50,20,Mode,40,[   0  658  743 1093 1251 2211]
40,50,20,Median,40,[   0  658  743 1082 1251 2211]
40,50,20,Mode,40,[   0  658  743 1093 1251 2211]
40,50,20,Median,40,[   0  658  743 1093 1251 2211]
40,50,20,Mode,40,[   0  658  743 1093 1251 2211]
40,50,20,Median,40,[   0  518  658  743 1093 1251 2211]
40,50,20,Mode,40,[   0  518  658  743 1093 1251 2211]
40,50,20,Median,40,[   0  518  658  743 1093 1251 2211]
40,50,20,Mode,40,[   0  518  658  743 1093 1251 2211]
