St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  625 2211]
40,50,20,Mode,40,[   0  625 1896 2211]
40,50,20,Median,40,[   0  325 1076 2211]
40,50,20,Mode,40,[   0  625 1160 2211]
40,50,20,Median,40,[   0   81  625 1512 2211]
40,50,20,Mode,40,[   0   81  625 1549 2211]
40,50,20,Median,40,[   0   81  625 1114 2211]
40,50,20,Mode,40,[   0   81  625 1160 2211]
40,50,20,Median,40,[   0   81  625 1160 2211]
40,50,20,Mode,40,[   0   81  625 1160 2211]
40,50,20,Median,40,[   0   81  625 1160 2211]
40,50,20,Mode,40,[   0   81  625 1160 2211]
40,50,20,Median,40,[   0   81  625 1160 1549 1726 1896 2211]
40,50,20,Mode,40,[   0   81  625 1160 1549 1723 1896 2211]
40,50,20,Median,40,[   0   81  625 1160 1549 1726 1896 2211]
40,50,20,Mode,40,[   0   81  625 1160 1549 1723 1896 2211]
40,50,20,Median,40,[   0   81  625 1160 1549 1726 1896 2211]
40,50,20,Mode,40,[   0   81  625 1160 1549 1723 1896 2211]
