St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  745 1217 2211]
40,50,20,Mode,40,[   0  745 1217 2211]
40,50,20,Median,40,[   0  745 1122 2065 2211]
40,50,20,Mode,40,[   0  745 1217 2065 2211]
40,50,20,Median,40,[   0  636 1217 2211]
40,50,20,Mode,40,[   0  648  745 1217 2065 2211]
40,50,20,Median,40,[   0  636  745 1217 2065 2211]
40,50,20,Mode,40,[   0  648  745 1217 2065 2211]
40,50,20,Median,40,[   0  636  745 1217 2065 2211]
40,50,20,Mode,40,[   0  359  648  745 1217 2065 2211]
40,50,20,Median,40,[   0  422  636  745 1166 1387 2065 2211]
40,50,20,Mode,40,[   0  359  648  745  826 1217 2065 2211]
40,50,20,Median,40,[   0  422  636  745  861  950 1166 1387 2065 2211]
40,50,20,Mode,40,[   0  359  648  745  950 1217 2065 2211]
40,50,20,Median,40,[   0  422  636  745  861  950 1217 2065 2211]
40,50,20,Mode,40,[   0  359  648  745  950 1217 2065 2211]
40,50,20,Median,40,[   0  422  572  648  745  861  950 1110 1217 1387 2065 2211]
40,50,20,Mode,40,[   0  359  572  648  745  826  950 1110 1217 1387 2065 2211]
