St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1330 2211]
40,50,20,Mode,40,[   0  546 1244 2211]
40,50,20,Median,40,[   0 1174 1723 2211]
40,50,20,Mode,40,[   0 1244 1723 2211]
40,50,20,Median,40,[   0  508  909 1244 1723 2211]
40,50,20,Mode,40,[   0  936 1244 1723 2211]
40,50,20,Median,40,[   0  508  885 1244 1687 1884 2211]
40,50,20,Mode,40,[   0  936 1244 1723 1876 2211]
40,50,20,Median,40,[   0  508  885 1244 1687 1884 2211]
40,50,20,Mode,40,[   0  221  936 1244 1723 1876 2211]
40,50,20,Median,40,[   0  221  909 1244 1477 1884 2211]
40,50,20,Mode,40,[   0  221  936 1244 1587 1876 2211]
40,50,20,Median,40,[   0  508  800 1244 1477 1884 2211]
40,50,20,Mode,40,[   0  221  800  936 1244 1587 1876 2211]
40,50,20,Median,40,[   0  508  800 1244 1477 1881 2211]
40,50,20,Mode,40,[   0  221  800  936 1244 1587 1876 2211]
40,50,20,Median,40,[   0  508  800  936 1172 1477 1881 2211]
40,50,20,Mode,40,[   0  221  800  936 1172 1587 1876 2211]
