St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1104 1327]
40,50,20,Mode,40,[   0 1104 1327]
40,50,20,Median,40,[   0  346 1104 1327]
40,50,20,Mode,40,[   0  305  522 1104 1327]
40,50,20,Median,40,[   0  184  428  656 1104 1327]
40,50,20,Mode,40,[   0  184  522  656 1104 1327]
40,50,20,Median,40,[   0  346  522  656 1104 1327]
40,50,20,Mode,40,[   0  305  522  656 1104 1327]
40,50,20,Median,40,[   0  346  522  656 1104 1327]
40,50,20,Mode,40,[   0  305  522  656 1104 1327]
40,50,20,Median,40,[   0  346  522  656 1104 1327]
40,50,20,Mode,40,[   0  305  522  656 1104 1327]
40,50,20,Median,40,[   0  346  522  750 1104 1327]
40,50,20,Mode,40,[   0  305  522  750 1104 1327]
40,50,20,Median,40,[   0  346  455  750 1104 1327]
40,50,20,Mode,40,[   0  305  461  750 1104 1327]
40,50,20,Median,40,[   0  346  455  750 1104 1327]
40,50,20,Mode,40,[   0  305  461  750 1104 1327]
