St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  543 1327]
40,50,20,Mode,40,[   0  640  925 1327]
40,50,20,Median,40,[   0  640 1070 1327]
40,50,20,Mode,40,[   0  221  640  925 1327]
40,50,20,Median,40,[   0  640  925 1070 1327]
40,50,20,Mode,40,[   0  221  640  925 1070 1327]
40,50,20,Median,40,[   0  640  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  925 1070 1181 1327]
40,50,20,Median,40,[   0  221  640  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  925 1070 1181 1327]
40,50,20,Median,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Median,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Median,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Median,40,[   0  221  640  802  925 1070 1181 1327]
40,50,20,Mode,40,[   0  221  640  802  925 1070 1181 1327]
