St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  670 1327]
40,50,20,Mode,40,[   0  180 1327]
40,50,20,Median,40,[   0  180  543 1327]
40,50,20,Mode,40,[   0  180 1327]
40,50,20,Median,40,[   0  180  524  670 1024 1327]
40,50,20,Mode,40,[   0  180  525  670 1327]
40,50,20,Median,40,[   0  180  670  797 1327]
40,50,20,Mode,40,[   0  180  525  670  797 1327]
40,50,20,Median,40,[   0  180  459  525  670  797 1327]
40,50,20,Mode,40,[   0  180  459  525  670  797 1327]
40,50,20,Median,40,[   0  135  206  459  525  670  797 1327]
40,50,20,Mode,40,[   0  135  459  525  670  797 1327]
40,50,20,Median,40,[   0  135  206  459  525  670  889 1327]
40,50,20,Mode,40,[   0  135  459  525  670  889 1024 1327]
40,50,20,Median,40,[   0  180  291  459  525  670  889 1327]
40,50,20,Mode,40,[   0  180  291  459  525  670  889 1024 1327]
40,50,20,Median,40,[   0  180  291  459  525  670  889 1024 1161 1327]
40,50,20,Mode,40,[   0  180  291  459  525  670  889 1024 1161 1327]
