St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  353 1532 1911]
40,50,20,Mode,40,[   0  241 1449 1911]
40,50,20,Median,40,[   0  436 1532 1911]
40,50,20,Mode,40,[   0  241 1449 1911]
40,50,20,Median,40,[   0  436 1536 1911]
40,50,20,Mode,40,[   0  241 1350 1449 1911]
40,50,20,Median,40,[   0   58  241  439 1209 1536 1911]
40,50,20,Mode,40,[   0   58  241  499 1350 1449 1911]
40,50,20,Median,40,[   0   58  241  439 1209 1536 1911]
40,50,20,Mode,40,[   0   58  241  499 1350 1449 1828 1911]
40,50,20,Median,40,[   0   58  241  439 1263 1536 1828 1911]
40,50,20,Mode,40,[   0   58  241  499 1350 1449 1828 1911]
40,50,20,Median,40,[   0   58  241  439 1209 1449 1545 1828 1911]
40,50,20,Mode,40,[   0   58  241  499 1209 1449 1545 1828 1911]
40,50,20,Median,40,[   0   58  241  431  499 1263 1449 1545 1828 1911]
40,50,20,Mode,40,[   0   58  241  353  499 1350 1449 1545 1828 1911]
40,50,20,Median,40,[   0   58  241  431 1209 1449 1545 1655 1828 1911]
40,50,20,Mode,40,[   0   58  241  353  499 1209 1449 1545 1655 1828 1911]
