St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  290 1333 1911]
40,50,20,Mode,40,[   0  290 1558 1911]
40,50,20,Median,40,[   0 1083 1558 1911]
40,50,20,Mode,40,[   0 1149 1558 1911]
40,50,20,Median,40,[   0  419 1083 1558 1911]
40,50,20,Mode,40,[   0  290  430 1149 1558 1911]
40,50,20,Median,40,[   0  404 1149 1558 1911]
40,50,20,Mode,40,[   0  290  430  849 1149 1558 1911]
40,50,20,Median,40,[   0   54  406 1149 1558 1911]
40,50,20,Mode,40,[   0  290  430  849 1149 1558 1911]
40,50,20,Median,40,[   0  290  430 1149 1494 1911]
40,50,20,Mode,40,[   0  290  430 1149 1513 1911]
40,50,20,Median,40,[   0   54  406 1149 1520 1911]
40,50,20,Mode,40,[   0  290  430  849 1149 1558 1630 1911]
40,50,20,Median,40,[   0   54  404 1149 1558 1911]
40,50,20,Mode,40,[   0  290  430  849 1149 1558 1911]
40,50,20,Median,40,[   0   54  404  849 1069 1558 1911]
40,50,20,Mode,40,[   0  290  430  849 1083 1558 1911]
