St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  349 1594 1911]
40,50,20,Mode,40,[   0 1588 1911]
40,50,20,Median,40,[   0   55  465 1594 1911]
40,50,20,Mode,40,[   0   55  409 1588 1911]
40,50,20,Median,40,[   0   55  409  666 1594 1911]
40,50,20,Mode,40,[   0   55  654 1588 1911]
40,50,20,Median,40,[   0   55  409  666 1588 1781 1911]
40,50,20,Mode,40,[   0   55  409  654 1588 1781 1911]
40,50,20,Median,40,[   0   55  409  662 1588 1781 1911]
40,50,20,Mode,40,[   0   55  409  654 1588 1781 1911]
40,50,20,Median,40,[   0   55  307  409  662 1588 1781 1911]
40,50,20,Mode,40,[   0   55  307  409  654 1588 1781 1911]
40,50,20,Median,40,[   0   55  307  409  662 1323 1588 1781 1911]
40,50,20,Mode,40,[   0   55  307  409  654 1323 1588 1781 1911]
40,50,20,Median,40,[   0   55  245  307  409  662 1323 1588 1781 1911]
40,50,20,Mode,40,[   0   55  245  307  409  654 1323 1588 1781 1911]
40,50,20,Median,40,[   0   55  307  409  662 1323 1588 1791 1911]
40,50,20,Mode,40,[   0   55  307  409  654 1323 1588 1781 1911]
