St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  723 1396 2120]
40,50,20,Mode,40,[   0  623 1137 2120]
40,50,20,Median,40,[   0  700 1960 2120]
40,50,20,Mode,40,[   0  623 1960 2120]
40,50,20,Median,40,[   0  268 1244 1960 2120]
40,50,20,Mode,40,[   0  390  623 1960 2120]
40,50,20,Median,40,[   0  206  711  966 1960 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1960 2120]
40,50,20,Median,40,[   0   88  390  966 1960 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1960 2120]
40,50,20,Median,40,[   0   88  390  966 1960 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1341 1960 2120]
40,50,20,Median,40,[   0   88  390  966 1960 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1341 1601 1960 2120]
40,50,20,Median,40,[   0   88  390  623  966 1960 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1341 1601 1960 2120]
40,50,20,Median,40,[   0   88  390  623  966 1714 1924 2060 2120]
40,50,20,Mode,40,[   0  390  623  966 1137 1341 1601 1960 2017 2120]
