St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  465 1276 2120]
40,50,20,Mode,40,[   0  824 2120]
40,50,20,Median,40,[   0  322  921 2120]
40,50,20,Mode,40,[   0  211 1140 1421 2120]
40,50,20,Median,40,[   0  316  824 1140 1453 2120]
40,50,20,Mode,40,[   0  211  824 2120]
40,50,20,Median,40,[   0  316  824 2120]
40,50,20,Mode,40,[   0  211  824 1724 2120]
40,50,20,Median,40,[   0  211  432  824 1140 1772 2120]
40,50,20,Mode,40,[   0  211  421  824 1140 1724 2120]
40,50,20,Median,40,[   0  211  421  824  958 1276 1421 1772 2120]
40,50,20,Mode,40,[   0  211  421  824 1140 1724 2120]
40,50,20,Median,40,[   0  211  432  824 1140 1280 1421 1772 2120]
40,50,20,Mode,40,[   0  211  421  824 1140 1280 1421 1724 2120]
40,50,20,Median,40,[   0  211  421  706  824 1140 1280 1421 1772 2120]
40,50,20,Mode,40,[   0  211  421  598  824 1140 1280 1421 1724 2120]
40,50,20,Median,40,[   0  211  421  706  824 1140 1280 1421 1516 2120]
40,50,20,Mode,40,[   0  211  421  598  824 1140 1280 1421 1516 2120]
