St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  512 1343 2120]
40,50,20,Mode,40,[   0 1343 2120]
40,50,20,Median,40,[   0  371  580 2120]
40,50,20,Mode,40,[   0  371  822 2120]
40,50,20,Median,40,[   0  371  580 2120]
40,50,20,Mode,40,[   0  371  822 2120]
40,50,20,Median,40,[   0  371  554  822 2120]
40,50,20,Mode,40,[   0  371  580 2120]
40,50,20,Median,40,[   0   76  371  554  822 2120]
40,50,20,Mode,40,[   0   76  371  580 1343 2120]
40,50,20,Median,40,[   0   76  371  554  822 2120]
40,50,20,Mode,40,[   0   76  371  580 1343 2120]
40,50,20,Median,40,[   0   76  371  514  580 1343 2120]
40,50,20,Mode,40,[   0   76  371  580 1343 2120]
40,50,20,Median,40,[   0   76  289  371  533  624  822 1343 2120]
40,50,20,Mode,40,[   0   76  289  371  580  822 1343 2120]
40,50,20,Median,40,[   0   76  289  371  514  580  822 1243 2120]
40,50,20,Mode,40,[   0   76  289  371  533  580  822 1243 2120]
