St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  220 1294 1642]
40,50,20,Mode,40,[   0  220 1564 1642]
40,50,20,Median,40,[   0  220  962 1642]
40,50,20,Mode,40,[   0  220  962 1564 1642]
40,50,20,Median,40,[   0  174  399  986 1373 1642]
40,50,20,Mode,40,[   0  220  399  962 1564 1642]
40,50,20,Median,40,[   0  174  399  986 1362 1564 1642]
40,50,20,Mode,40,[   0  220  399  962 1373 1564 1642]
40,50,20,Median,40,[   0  174  802 1362 1564 1642]
40,50,20,Mode,40,[   0  220  399  962 1373 1564 1642]
40,50,20,Median,40,[   0   75  220  399  802 1362 1564 1642]
40,50,20,Mode,40,[   0   75  220  399  962 1373 1564 1642]
40,50,20,Median,40,[   0   75  220  399  962 1100 1362 1564 1642]
40,50,20,Mode,40,[   0   75  220  399  962 1049 1373 1564 1642]
40,50,20,Median,40,[   0   75  220  494  962 1100 1362 1564 1642]
40,50,20,Mode,40,[   0   75  220  494  962 1049 1373 1564 1642]
40,50,20,Median,40,[   0   75  220  494  962 1316 1373 1564 1642]
40,50,20,Mode,40,[   0   75  220  494  962 1049 1316 1373 1564 1642]
