St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   65 1642]
40,50,20,Mode,40,[   0   65 1642]
40,50,20,Median,40,[   0   65 1642]
40,50,20,Mode,40,[   0   65 1642]
40,50,20,Median,40,[   0   65 1642]
40,50,20,Mode,40,[   0   65 1642]
40,50,20,Median,40,[   0   65  138  805 1138 1642]
40,50,20,Mode,40,[   0   65  138  805 1138 1642]
40,50,20,Median,40,[   0   65  138  805 1138 1642]
40,50,20,Mode,40,[   0   65  138  805 1138 1642]
40,50,20,Median,40,[   0   65  138  945 1138 1642]
40,50,20,Mode,40,[   0   65  138  945 1138 1642]
40,50,20,Median,40,[   0   65  138  945 1026 1138 1413 1460 1642]
40,50,20,Mode,40,[   0   65  138  945 1026 1138 1413 1460 1642]
40,50,20,Median,40,[   0   65  225  945 1138 1413 1460 1642]
40,50,20,Mode,40,[   0   65  225  945 1138 1413 1460 1642]
40,50,20,Median,40,[   0   65  225  945 1138 1413 1460 1642]
40,50,20,Mode,40,[   0   65  225  945 1138 1413 1460 1642]
