St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  528 1642]
40,50,20,Mode,40,[   0  528  867 1642]
40,50,20,Median,40,[   0  528  867 1127 1642]
40,50,20,Mode,40,[   0  528  867 1127 1642]
40,50,20,Median,40,[   0  528  867 1127 1642]
40,50,20,Mode,40,[   0  528  867 1127 1642]
40,50,20,Median,40,[   0  528  867 1127 1642]
40,50,20,Mode,40,[   0  528  867 1127 1642]
40,50,20,Median,40,[   0  528  866  981 1127 1642]
40,50,20,Mode,40,[   0  528  867 1127 1642]
40,50,20,Median,40,[   0  528  867 1024 1127 1642]
40,50,20,Mode,40,[   0  528  867 1024 1127 1642]
40,50,20,Median,40,[   0  528  866  981 1127 1642]
40,50,20,Mode,40,[   0  528  867 1127 1642]
40,50,20,Median,40,[   0  585  866 1127 1642]
40,50,20,Mode,40,[   0  585  867 1127 1642]
40,50,20,Median,40,[   0  585  866 1024 1127 1642]
40,50,20,Mode,40,[   0  585  867 1024 1127 1642]
