St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  949 2759]
40,50,20,Mode,40,[   0 1369 2759]
40,50,20,Median,40,[   0  275 1227 2759]
40,50,20,Mode,40,[   0  232 1369 2006 2759]
40,50,20,Median,40,[   0  274  712 1369 2759]
40,50,20,Mode,40,[   0  232  949 1369 2006 2759]
40,50,20,Median,40,[   0  274  712 1369 2006 2366 2759]
40,50,20,Mode,40,[   0  232  949 1369 2006 2366 2759]
40,50,20,Median,40,[   0  274  712 1203 1369 2006 2366 2759]
40,50,20,Mode,40,[   0  232  949 1369 2006 2366 2759]
40,50,20,Median,40,[   0  274  712 1203 1369 2006 2366 2759]
40,50,20,Mode,40,[   0  232  712 1203 1369 2006 2366 2759]
40,50,20,Median,40,[   0  274  712 1203 1369 2006 2367 2759]
40,50,20,Mode,40,[   0  232  712 1203 1369 2006 2366 2759]
40,50,20,Median,40,[   0  274  712 1203 1369 2006 2367 2759]
40,50,20,Mode,40,[   0  232  712 1203 1369 2006 2366 2759]
40,50,20,Median,40,[   0  274  712 1217 1369 2006 2367 2759]
40,50,20,Mode,40,[   0  232  712 1124 1369 2006 2366 2759]
