St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1165 2759]
40,50,20,Mode,40,[   0  988 2759]
40,50,20,Median,40,[   0 1128 1977 2322 2759]
40,50,20,Mode,40,[   0  988 1977 2392 2759]
40,50,20,Median,40,[   0  988 1353 1977 2322 2759]
40,50,20,Mode,40,[   0  988 1362 1977 2392 2759]
40,50,20,Median,40,[   0 1165 2010 2347 2759]
40,50,20,Mode,40,[   0  988 1713 1977 2392 2759]
40,50,20,Median,40,[   0 1128 1691 2010 2347 2759]
40,50,20,Mode,40,[   0  988 1362 1977 2392 2759]
40,50,20,Median,40,[   0  988 1362 2010 2347 2759]
40,50,20,Mode,40,[   0  745 1362 1977 2392 2759]
40,50,20,Median,40,[   0  988 1362 1978 2369 2759]
40,50,20,Mode,40,[   0  745 1362 1977 2392 2759]
40,50,20,Median,40,[   0  988 1362 1978 2369 2759]
40,50,20,Mode,40,[   0  988 1362 1977 2392 2759]
40,50,20,Median,40,[   0  988 1362 1978 2369 2759]
40,50,20,Mode,40,[   0  988 1362 1977 2392 2759]
