St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  859 2017 2759]
40,50,20,Mode,40,[   0  859 2759]
40,50,20,Median,40,[   0  291 1134 2045 2759]
40,50,20,Mode,40,[   0  275 1582 2759]
40,50,20,Median,40,[   0  291  987 1582 2045 2759]
40,50,20,Mode,40,[   0  275  859 1582 2759]
40,50,20,Median,40,[   0  291  987 1582 2016 2310 2759]
40,50,20,Mode,40,[   0  275  859 1582 2017 2310 2759]
40,50,20,Median,40,[   0  291  902 1134 1582 2016 2310 2759]
40,50,20,Mode,40,[   0  275  859 1138 1582 2017 2310 2759]
40,50,20,Median,40,[   0  275  502  902 1134 1582 2016 2310 2759]
40,50,20,Mode,40,[   0  275  502  859 1138 1582 2017 2310 2759]
40,50,20,Median,40,[   0  275  502  902 1134 1582 2016 2310 2671 2759]
40,50,20,Mode,40,[   0  275  502  859 1138 1582 2017 2310 2671 2759]
40,50,20,Median,40,[   0  275  502  968 1134 1582 2016 2310 2671 2759]
40,50,20,Mode,40,[   0  275  502  968 1138 1582 2017 2310 2671 2759]
40,50,20,Median,40,[   0  275  502  968 1134 1582 2017 2310 2671 2759]
40,50,20,Mode,40,[   0  275  502  968 1138 1582 2017 2310 2671 2759]
