St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  880 2759]
40,50,20,Mode,40,[   0 1124 2759]
40,50,20,Median,40,[   0  380 1126 2759]
40,50,20,Mode,40,[   0  279 1124 2759]
40,50,20,Median,40,[   0  380 1124 2010 2320 2759]
40,50,20,Mode,40,[   0  279 1124 2019 2314 2759]
40,50,20,Median,40,[   0  380 1124 1582 2019 2320 2759]
40,50,20,Mode,40,[   0  279 1124 1590 2019 2314 2759]
40,50,20,Median,40,[   0  380 1124 1582 2019 2320 2759]
40,50,20,Mode,40,[   0  279 1124 1590 2019 2314 2759]
40,50,20,Median,40,[   0  307  535 1124 1582 2019 2320 2759]
40,50,20,Mode,40,[   0  279  535 1124 1590 2019 2314 2759]
40,50,20,Median,40,[   0  307  535 1124 1582 2019 2320 2759]
40,50,20,Mode,40,[   0  279  535 1124 1590 2019 2314 2759]
40,50,20,Median,40,[   0  307  535 1124 1590 2019 2320 2759]
40,50,20,Mode,40,[   0  279  535 1124 1590 2019 2314 2759]
40,50,20,Median,40,[   0  279  535 1124 1590 2019 2320 2759]
40,50,20,Mode,40,[   0  279  535 1124 1590 2019 2314 2759]
