St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  123 1086 1810]
40,50,20,Mode,40,[   0  123 1114 1810]
40,50,20,Median,40,[   0  123 1048 1736 1810]
40,50,20,Mode,40,[   0  123 1114 1736 1810]
40,50,20,Median,40,[   0  123  548 1085 1736 1810]
40,50,20,Mode,40,[   0  123  494 1114 1736 1810]
40,50,20,Median,40,[   0  123  494  791 1085 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1114 1736 1810]
40,50,20,Median,40,[   0  123  472  812 1086 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1114 1736 1810]
40,50,20,Median,40,[   0  123  494  812 1086 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1114 1736 1810]
40,50,20,Median,40,[   0  123  494  812 1048 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1048 1736 1810]
40,50,20,Median,40,[   0  123  494  812 1048 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1048 1736 1810]
40,50,20,Median,40,[   0  123  494  812 1076 1736 1810]
40,50,20,Mode,40,[   0  123  494  812 1048 1736 1810]
