St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  275 1632]
40,50,20,Mode,40,[   0   70 1200 1632]
40,50,20,Median,40,[   0  219 1632]
40,50,20,Mode,40,[   0   70  852 1632]
40,50,20,Median,40,[   0   70  398  852 1632]
40,50,20,Mode,40,[   0   70  346  852 1632]
40,50,20,Median,40,[   0   70  398  852 1632]
40,50,20,Mode,40,[   0   70  346  852 1632]
40,50,20,Median,40,[   0   70  398 1194 1338 1632]
40,50,20,Mode,40,[   0   70  346 1200 1271 1632]
40,50,20,Median,40,[   0   70  398 1200 1338 1632]
40,50,20,Mode,40,[   0   70  346 1200 1271 1632]
40,50,20,Median,40,[   0   70  219 1200 1338 1632]
40,50,20,Mode,40,[   0   70  219 1200 1271 1632]
40,50,20,Median,40,[   0   70  219  700 1074 1200 1338 1632]
40,50,20,Mode,40,[   0   70  219  700 1114 1200 1338 1632]
40,50,20,Median,40,[   0   70  219  700 1074 1200 1338 1632]
40,50,20,Mode,40,[   0   70  219  346  463  700  852 1114 1200 1271 1632]
