St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  375 1220 1632]
40,50,20,Mode,40,[   0   41 1220 1632]
40,50,20,Median,40,[   0  327 1286 1632]
40,50,20,Mode,40,[   0   41  591 1220 1632]
40,50,20,Median,40,[   0   41  384 1350 1632]
40,50,20,Mode,40,[   0   41  591 1077 1632]
40,50,20,Median,40,[   0   41  596 1350 1632]
40,50,20,Mode,40,[   0   41  591 1077 1632]
40,50,20,Median,40,[   0   41  596  962 1405 1632]
40,50,20,Mode,40,[   0   41  591 1077 1632]
40,50,20,Median,40,[   0   41  596  941 1417 1632]
40,50,20,Mode,40,[   0   41  591  943 1632]
40,50,20,Median,40,[   0   41  327  375  596  941 1417 1632]
40,50,20,Mode,40,[   0   41  591  943 1632]
40,50,20,Median,40,[   0   41  596  944 1220 1394 1632]
40,50,20,Mode,40,[   0   41  591  943 1579 1632]
40,50,20,Median,40,[   0   41  327  375  596  944 1220 1394 1632]
40,50,20,Mode,40,[   0   41  591  943 1579 1632]
