St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  344 1172 1632]
40,50,20,Mode,40,[   0  592  936 1632]
40,50,20,Median,40,[   0  344 1335 1632]
40,50,20,Mode,40,[   0  592  936 1335 1632]
40,50,20,Median,40,[   0  592  936 1335 1632]
40,50,20,Mode,40,[   0  592  936 1335 1632]
40,50,20,Median,40,[   0  592  936 1218 1393 1632]
40,50,20,Mode,40,[   0  592  936 1218 1335 1632]
40,50,20,Median,40,[   0   93  592  936 1218 1393 1632]
40,50,20,Mode,40,[   0   93  592  936 1218 1335 1632]
40,50,20,Median,40,[   0   93  279  344  592  936 1218 1393 1632]
40,50,20,Mode,40,[   0   93  592  936 1218 1335 1632]
40,50,20,Median,40,[   0   93  279  344  592  936 1218 1336 1632]
40,50,20,Mode,40,[   0   93  592  936 1218 1335 1632]
40,50,20,Median,40,[   0   93  279  344  592  936  989 1218 1335 1394 1632]
40,50,20,Mode,40,[   0   93  592  936  989 1218 1335 1394 1632]
40,50,20,Median,40,[   0   93  279  344  592  936  989 1091 1218 1336 1632]
40,50,20,Mode,40,[   0   93  592  936  989 1091 1218 1335 1632]
