St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1123 2020]
40,50,20,Mode,40,[   0   63 1000 2020]
40,50,20,Median,40,[   0  196 1355 2020]
40,50,20,Mode,40,[   0   63 1000 1263 2020]
40,50,20,Median,40,[   0 1299 1679 2020]
40,50,20,Mode,40,[   0   63 1000 1123 1565 2020]
40,50,20,Median,40,[   0   63  906 1263 1679 2020]
40,50,20,Mode,40,[   0   63  322 1000 1123 1565 2020]
40,50,20,Median,40,[   0   63  787 1000 1299 1679 2020]
40,50,20,Mode,40,[   0   63  787 1000 1263 1565 2020]
40,50,20,Median,40,[   0   63  787 1000 1299 1679 2020]
40,50,20,Mode,40,[   0   63  787 1000 1263 1565 2020]
40,50,20,Median,40,[   0   63  196  787 1000 1299 1679 2020]
40,50,20,Mode,40,[   0   63  196  322  787 1000 1263 1565 2020]
40,50,20,Median,40,[   0   63  196  787  953 1123 1679 2020]
40,50,20,Mode,40,[   0   63  196  322  787 1000 1123 1565 2020]
40,50,20,Median,40,[   0   63  196  665  787  953 1123 1679 2020]
40,50,20,Mode,40,[   0   63  196  322  787 1000 1123 1565 2020]
