St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  662 2020]
40,50,20,Mode,40,[   0  528 2020]
40,50,20,Median,40,[   0  662 1343 2020]
40,50,20,Mode,40,[   0  528 2020]
40,50,20,Median,40,[   0  387  807 1359 2020]
40,50,20,Mode,40,[   0  528 2020]
40,50,20,Median,40,[   0  284  638 1359 2020]
40,50,20,Mode,40,[   0  339  528 2020]
40,50,20,Median,40,[   0  284  638 1234 1446 2020]
40,50,20,Mode,40,[   0  339  528 1260 1446 2020]
40,50,20,Median,40,[   0  284  638 1234 1649 1857 2020]
40,50,20,Mode,40,[   0  339  528 1260 1446 2020]
40,50,20,Median,40,[   0  284  528  662  889 1234 1446 1649 1857 2020]
40,50,20,Mode,40,[   0  339  528 1260 1446 2020]
40,50,20,Median,40,[   0  339  528  662  889 1234 1446 1649 1857 2020]
40,50,20,Mode,40,[   0  339  528 1260 1446 2020]
40,50,20,Median,40,[   0  339  528  662  889 1234 1446 1649 1820 2020]
40,50,20,Mode,40,[   0  339  528 1260 1446 2020]
