St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  757 1487 2020]
40,50,20,Mode,40,[   0  994 1487 2020]
40,50,20,Median,40,[   0  256  915 1744 2020]
40,50,20,Mode,40,[   0  178  994 1487 2020]
40,50,20,Median,40,[   0  256  807 1487 1952 2020]
40,50,20,Mode,40,[   0  178  994 1487 1952 2020]
40,50,20,Median,40,[   0  256  757  994 1487 1952 2020]
40,50,20,Mode,40,[   0  178  994 1487 1952 2020]
40,50,20,Median,40,[   0  256  757 1268 1487 1952 2020]
40,50,20,Mode,40,[   0  178  994 1251 1487 1952 2020]
40,50,20,Median,40,[   0  178  490  994 1268 1487 1952 2020]
40,50,20,Mode,40,[   0  178  410  994 1251 1487 1952 2020]
40,50,20,Median,40,[   0  284  490  994 1268 1487 1952 2020]
40,50,20,Mode,40,[   0  178  410  994 1251 1487 1952 2020]
40,50,20,Median,40,[   0  284  490  994 1268 1487 1952 2020]
40,50,20,Mode,40,[   0  178  410  994 1251 1487 1952 2020]
40,50,20,Median,40,[   0  284  490  994 1268 1487 1592 1897 1952 2020]
40,50,20,Mode,40,[   0  178  410  994 1251 1487 1592 1897 1952 2020]
