St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1356 1875]
40,50,20,Mode,40,[   0 1356 1875]
40,50,20,Median,40,[   0  207  821 1356 1875]
40,50,20,Mode,40,[   0 1356 1875]
40,50,20,Median,40,[   0  207  821 1356 1875]
40,50,20,Mode,40,[   0 1356 1875]
40,50,20,Median,40,[   0  686  893 1356 1875]
40,50,20,Mode,40,[   0 1356 1875]
40,50,20,Median,40,[   0  686  821  894 1356 1875]
40,50,20,Mode,40,[   0  696  821  894 1356 1875]
40,50,20,Median,40,[   0  686  821  894 1356 1412 1875]
40,50,20,Mode,40,[   0  696  821  894 1356 1412 1743 1875]
40,50,20,Median,40,[   0  696  821  894 1356 1412 1875]
40,50,20,Mode,40,[   0  696  821  894 1356 1412 1743 1875]
40,50,20,Median,40,[   0  110  210  696  821  894 1356 1412 1875]
40,50,20,Mode,40,[   0  110  210  539  696  821  894 1356 1412 1743 1875]
40,50,20,Median,40,[   0  110  210  696  821  894 1356 1412 1875]
40,50,20,Mode,40,[   0  110  210  539  696  821  894 1356 1412 1743 1875]
