St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 128 589 969]
40,50,20,Mode,40,[  0 128 589 969]
40,50,20,Median,40,[  0  87 469 815 969]
40,50,20,Mode,40,[  0 128 589 969]
40,50,20,Median,40,[  0  87 389 969]
40,50,20,Mode,40,[  0 128 479 589 969]
40,50,20,Median,40,[  0  87 340 479 589 969]
40,50,20,Mode,40,[  0 335 479 589 969]
40,50,20,Median,40,[  0  87 340 479 589 705 969]
40,50,20,Mode,40,[  0 335 479 589 815 969]
40,50,20,Median,40,[  0  56 128 340 479 589 705 969]
40,50,20,Mode,40,[  0  56 128 335 479 589 815 969]
40,50,20,Median,40,[  0  56 128 340 479 589 815 969]
40,50,20,Mode,40,[  0  56 128 335 479 589 815 969]
40,50,20,Median,40,[  0  56 128 335 479 589 815 969]
40,50,20,Mode,40,[  0  56 128 335 479 589 815 969]
40,50,20,Median,40,[  0  56 128 335 479 538 589 815 969]
40,50,20,Mode,40,[  0  56 128 335 479 538 589 815 969]
