St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[  0 331 969]
40,50,20,Mode,40,[  0 436 924 969]
40,50,20,Median,40,[  0 483 887 969]
40,50,20,Mode,40,[  0 436 924 969]
40,50,20,Median,40,[  0 436 585 887 969]
40,50,20,Mode,40,[  0 436 585 924 969]
40,50,20,Median,40,[  0 436 585 887 969]
40,50,20,Mode,40,[  0 436 585 924 969]
40,50,20,Median,40,[  0 436 585 887 969]
40,50,20,Mode,40,[  0 436 585 924 969]
40,50,20,Median,40,[  0 436 585 924 969]
40,50,20,Mode,40,[  0 436 585 924 969]
40,50,20,Median,40,[  0 436 585 924 969]
40,50,20,Mode,40,[  0 436 585 924 969]
40,50,20,Median,40,[  0  45  98 184 436 585 924 969]
40,50,20,Mode,40,[  0  45  98 184 436 585 924 969]
40,50,20,Median,40,[  0  45  98 184 436 483 585 826 924 969]
40,50,20,Mode,40,[  0  45  98 184 483 585 924 969]
