St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  202  578 1249]
40,50,20,Mode,40,[   0  326  578 1249]
40,50,20,Median,40,[   0  202  578  792 1249]
40,50,20,Mode,40,[   0  326  578  792 1249]
40,50,20,Median,40,[   0  143  326  578  792 1249]
40,50,20,Mode,40,[   0  143  326  578  792 1249]
40,50,20,Median,40,[   0  143  326  578  792 1249]
40,50,20,Mode,40,[   0  143  326  578  792 1249]
40,50,20,Median,40,[   0  143  326  578  792 1249]
40,50,20,Mode,40,[   0  143  326  578  792 1249]
40,50,20,Median,40,[   0  143  202  326  578  792 1249]
40,50,20,Mode,40,[   0  143  202  326  578  792 1249]
40,50,20,Median,40,[   0  143  202  326  578  788  865 1249]
40,50,20,Mode,40,[   0  143  202  326  578  792  865 1249]
40,50,20,Median,40,[   0  143  202  326  534  788  865 1249]
40,50,20,Mode,40,[   0  143  202  326  534  792  865 1249]
40,50,20,Median,40,[   0  143  202  326  534  788  865 1249]
40,50,20,Mode,40,[   0  143  202  326  534  792  865 1249]
