St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  481  883 1249]
40,50,20,Mode,40,[   0  481 1249]
40,50,20,Median,40,[   0  542 1249]
40,50,20,Mode,40,[   0  481 1249]
40,50,20,Median,40,[   0  810 1249]
40,50,20,Mode,40,[   0  481  828 1091 1249]
40,50,20,Median,40,[   0  810 1249]
40,50,20,Mode,40,[   0  101  203  481  828 1091 1249]
40,50,20,Median,40,[   0   71  288  727  828 1249]
40,50,20,Mode,40,[   0  101  203  481  727  828 1091 1249]
40,50,20,Median,40,[   0   71  288  481  546  727  828 1249]
40,50,20,Mode,40,[   0  101  203  481  542  727  828 1091 1249]
40,50,20,Median,40,[   0   71  203  326  481  546  727  828 1249]
40,50,20,Mode,40,[   0  101  203  288  481  542  727  828 1091 1249]
40,50,20,Median,40,[   0   71  203  326  481  546  727  828 1091 1169 1249]
40,50,20,Mode,40,[   0  101  203  288  481  542  727  828 1091 1169 1249]
40,50,20,Median,40,[   0   71  203  326  481  546  727  883 1091 1169 1249]
40,50,20,Mode,40,[   0  101  203  288  481  542  727  883 1091 1169 1249]
