St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  724 1249]
40,50,20,Mode,40,[   0   91  542 1249]
40,50,20,Median,40,[   0  484  871 1249]
40,50,20,Mode,40,[   0   91  817 1249]
40,50,20,Median,40,[   0  107  308  484  871 1249]
40,50,20,Mode,40,[   0   91  264  817 1249]
40,50,20,Median,40,[   0  107  308  484  817 1000 1249]
40,50,20,Mode,40,[   0   91  264  817 1000 1249]
40,50,20,Median,40,[   0  107  308  484  820 1000 1249]
40,50,20,Mode,40,[   0   91  264  724  817 1000 1249]
40,50,20,Median,40,[   0   91  158  484  820 1000 1249]
40,50,20,Mode,40,[   0   91  158  724  817 1000 1249]
40,50,20,Median,40,[   0   91  158  483  542  724  820 1000 1249]
40,50,20,Mode,40,[   0   91  158  264  483  542  724  817 1000 1249]
40,50,20,Median,40,[   0   91  158  483  542  724  871 1000 1249]
40,50,20,Mode,40,[   0   91  158  264  483  542  724  871 1000 1249]
40,50,20,Median,40,[   0   91  158  483  542  724  871 1000 1249]
40,50,20,Mode,40,[   0   91  158  264  483  542  724  871 1000 1249]
