St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  485  957 1249]
40,50,20,Mode,40,[   0  116  957 1249]
40,50,20,Median,40,[   0  221  613  957 1249]
40,50,20,Mode,40,[   0  116  957 1249]
40,50,20,Median,40,[   0  221  613  927 1249]
40,50,20,Mode,40,[   0  116  957 1249]
40,50,20,Median,40,[   0  116  237  613  927 1249]
40,50,20,Mode,40,[   0  237  957 1249]
40,50,20,Median,40,[   0  116  237  613  846  957 1249]
40,50,20,Mode,40,[   0  116  237  846  957 1093 1249]
40,50,20,Median,40,[   0  116  237  559  619  846  957 1249]
40,50,20,Mode,40,[   0  116  237  559  619  846  957 1093 1249]
40,50,20,Median,40,[   0  116  237  559  619  846  957 1093 1174 1249]
40,50,20,Mode,40,[   0  116  237  559  619  846  957 1093 1174 1249]
40,50,20,Median,40,[   0  116  237  559  619  846  957 1093 1174 1249]
40,50,20,Mode,40,[   0  116  237  559  619  846  957 1093 1174 1249]
40,50,20,Median,40,[   0  116  237  411  559  619  846  957 1093 1174 1249]
40,50,20,Mode,40,[   0  116  237  411  559  619  846  957 1093 1174 1249]
