St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  203  892 1249]
40,50,20,Mode,40,[   0  207 1249]
40,50,20,Median,40,[   0  189  659  946 1249]
40,50,20,Mode,40,[   0  207  659  993 1249]
40,50,20,Median,40,[   0   66  207  659 1249]
40,50,20,Mode,40,[   0   66  207  659  993 1249]
40,50,20,Median,40,[   0   66  207  659 1249]
40,50,20,Mode,40,[   0   66  207  659  993 1249]
40,50,20,Median,40,[   0   66  207  659  900  993 1249]
40,50,20,Mode,40,[   0   66  207  659  900  993 1249]
40,50,20,Median,40,[   0   66  207  292  659  900  993 1249]
40,50,20,Mode,40,[   0   66  207  292  659  900  993 1249]
40,50,20,Median,40,[   0   66  207  292  756  900  993 1249]
40,50,20,Mode,40,[   0   66  207  292  754  900  993 1249]
40,50,20,Median,40,[   0   66  207  292  756  900  993 1249]
40,50,20,Mode,40,[   0   66  207  292  754  900  993 1249]
40,50,20,Median,40,[   0   66  138  207  292  756  900  993 1249]
40,50,20,Mode,40,[   0   66  138  207  292  754  900  993 1249]
